,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,new_addition,docs_url,updated_github_id,trending
10,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-06-21 00:17:30,2023-02-21 11:02:54,236,,421.0,136.0,238.0,177.0,146.0,10097,2022-08-30 17:56:11,0.0.8,,416414.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6366.0,6366.0,53.0,https://pypi.org/project/sqlmodel,416414.0,31,True,1,,,,
11,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2023-06-30 15:55:57,2023-06-20 05:15:41,5740,226.0,303.0,42.0,1459.0,16.0,172.0,2935,2023-06-19 20:38:42,0.40.3,1.0,5987.0,70.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",109.0,109.0,69.0,https://pypi.org/project/zenml,5987.0,31,True,3,True,,,
12,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-07-01 09:47:42,2023-06-30 22:13:25,1919,288.0,211.0,25.0,1224.0,57.0,502.0,2239,2023-05-02 15:39:26,1.51.12,,4246.0,100.0,"Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",55.0,55.0,116.0,https://pypi.org/project/litestar,4246.0,31,True,3,True,,,
13,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-06-30 17:31:22,2023-06-30 10:54:06,842,91.0,186.0,20.0,1056.0,63.0,249.0,1675,2023-06-06 15:19:45,0.20.0,,336145.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",778.0,778.0,74.0,https://pypi.org/project/datamodel-code-generator,336145.0,31,True,1,,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2023-06-29 02:25:02,2023-06-29 02:24:54,1230,62.0,64.0,17.0,646.0,59.0,173.0,1367,2023-06-18 17:05:55,0.12.2,,23963.0,77.0,python async orm with fastapi in mind and pydantic validation.,813.0,813.0,31.0,https://pypi.org/project/ormar,23963.0,30,True,2,True,,,
15,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-07-01 00:31:21,2023-06-30 23:29:17,402,19.0,117.0,14.0,233.0,31.0,228.0,1275,2023-07-01 00:33:15,1.20.0,,66806.0,97.0,Asynchronous Python ODM for MongoDB.,1219.0,1219.0,47.0,https://pypi.org/project/beanie,66806.0,30,True,1,,,,
16,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-06-30 19:40:50,2023-06-29 21:35:51,1996,176.0,181.0,90.0,2420.0,180.0,649.0,2747,2023-06-27 19:10:36,8.4.0,15664.0,2862.0,99.0,A self-hosted Fuzzing-As-A-Service platform.,10.0,10.0,33.0,https://pypi.org/project/onefuzz,2402.0,29,True,1,True,,,
17,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-06-30 12:37:25,2023-06-30 12:36:56,2542,335.0,289.0,58.0,1752.0,74.0,630.0,2169,2023-06-30 12:10:43,2.19.0,,,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1630.0,1630.0,114.0,https://pypi.org/project/aws-lambda-powertools-python,,29,False,1,,,aws-powertools/powertools-lambda-python,
18,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2023-06-30 17:58:08,2023-06-29 12:06:45,1384,138.0,172.0,30.0,770.0,102.0,86.0,2014,2023-06-01 11:30:13,0.10.17,,22.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",211.0,211.0,48.0,https://pypi.org/project/robusta,22.0,28,True,1,True,,,
19,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-06-28 22:38:25,2023-06-28 22:35:11,1697,36.0,70.0,14.0,400.0,84.0,227.0,1051,2023-06-28 22:38:25,0.116.0,,17154.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",266.0,266.0,40.0,https://pypi.org/project/piccolo,17154.0,28,True,3,True,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-06-29 14:40:19,2023-06-28 15:32:46,3744,533.0,93.0,9.0,646.0,113.0,213.0,1257,2023-06-21 10:34:47,0.8.2,,,74.0,Open-source data observability for analytics engineers.,23.0,23.0,47.0,https://pypi.org/project/elementary,,25,True,1,,,,
21,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2023-06-04 13:56:44,2023-01-02 16:09:46,148,,40.0,4.0,35.0,16.0,22.0,286,,,,139314.0,,flask extension for integration with the awesome pydantic package.,417.0,417.0,12.0,https://pypi.org/project/flask-pydantic,139314.0,21,True,2,,,,
22,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-06-26 12:59:25,2023-06-26 12:59:21,246,27.0,29.0,13.0,68.0,3.0,48.0,141,,,,58759.0,,Pydantic data models for the GeoJSON spec.,257.0,257.0,20.0,https://pypi.org/project/geojson-pydantic,58759.0,21,True,1,,,,-1.0
23,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2023-06-02 18:26:52,2021-05-06 12:10:38,127,,143.0,50.0,40.0,,30.0,2860,2021-05-01 13:59:02,0.0.11,,119.0,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",46.0,46.0,4.0,https://pypi.org/project/opyrator,119.0,20,True,3,True,,,
24,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120,,27.0,7.0,36.0,11.0,27.0,356,2022-04-14 10:14:45,0.7.0,,11948.0,15.0,Pydantic model support for Django.,54.0,54.0,4.0,https://pypi.org/project/djantic,11948.0,20,True,2,,,,
