,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
40,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,4.0,1.0,2.0,7.0,4.0,40,2022-02-18 19:48:32,1.0.6a2,,213.0,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,213.0,10,True,1,,,
41,xsdata-pydantic,tefra/xsdata-pydantic,xsdata-pydantic,[],xml,https://github.com/tefra/xsdata-pydantic,https://github.com/tefra/xsdata-pydantic,MIT,2021-11-04 11:15:58,2023-08-30 16:04:13,2023-08-30 15:35:30,23,1.0,5.0,3.0,12.0,4.0,7.0,29,2022-10-02 07:20:59,22.10,,1594.0,1.0,Naive XML & JSON Bindings for python pydantic classes!.,,,2.0,https://pypi.org/project/xsdata-pydantic,1594.0,10,True,3,,,
42,nebula-carina,nebula-contrib/nebula-carina,nebula-carina,[],databases-graph,https://github.com/nebula-contrib/nebula-carina,https://github.com/nebula-contrib/nebula-carina,MIT,2022-06-03 14:45:40,2023-10-24 07:19:35,2023-10-23 05:13:20,116,5.0,7.0,6.0,8.0,6.0,6.0,22,2023-02-20 14:39:56,release-0.3.1,,3.0,6.0,A pydantic based python ORM framework for graph database NebulaGraph 3.,,,4.0,https://pypi.org/project/nebula-carina,3.0,10,True,1,1.0,,
43,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2023-04-14 16:02:34,2022-10-31 11:41:14,22,,3.0,3.0,36.0,1.0,1.0,20,,,,44192.0,,,6.0,6.0,3.0,https://pypi.org/project/pydantic-spark,44192.0,10,False,3,,,
44,arangodantic,ioxiocom/arangodantic,arangodantic,[],databases-graph,https://github.com/ioxiocom/arangodantic,https://github.com/ioxiocom/arangodantic,BSD-3-Clause,2020-09-29 08:45:54,2023-09-20 10:27:40,2022-08-19 13:21:50,22,,6.0,6.0,18.0,2.0,,13,2022-08-05 10:56:33,0.3.1,,73.0,3.0,,1.0,1.0,3.0,https://pypi.org/project/arangodantic,73.0,10,False,1,,,
45,sanic-pydantic,nf1s/sanic-pydantic,sanic-pydantic,[],http-server-integrations,https://github.com/nf1s/sanic-pydantic,https://github.com/nf1s/sanic-pydantic,MIT,2020-04-03 08:24:55,2023-02-11 01:45:39,2022-05-12 19:27:29,87,,3.0,,21.0,,5.0,7,2021-10-14 08:22:48,1.2.1,,13.0,3.0,A library for parsing and validating http requests for sanic web-framework using pydantic library.,5.0,5.0,3.0,https://pypi.org/project/sanic-pydantic,13.0,10,True,3,,,
46,jsonapi-pydantic,impocode/jsonapi-pydantic,jsonapi-pydantic,[],jsonapi,https://github.com/impocode/jsonapi-pydantic,https://github.com/impocode/jsonapi-pydantic,MIT,2022-07-22 14:48:18,2023-09-05 12:23:27,2023-09-05 12:21:18,19,5.0,,1.0,,,,2,2023-08-04 11:53:46,0.2.0,27.0,1416.0,7.0,jsonapi-pydantic provides a suite of Pydantic models matching the JSON:API specification.,,,,https://pypi.org/project/jsonapi-pydantic,1415.0,10,True,1,,,
47,neontology,ontolocy/neontology,neontology,[],databases-graph,https://github.com/ontolocy/neontology,https://github.com/ontolocy/neontology,MIT,2022-08-09 14:03:49,2023-09-29 15:00:54,2023-09-29 15:00:25,28,10.0,2.0,2.0,11.0,,1.0,9,,,,363.0,,"Easily ingest data into a Neo4j graph database with Python, pandas and Pydantic.",,,,https://pypi.org/project/neontology,363.0,8,True,3,,,
48,pydantic-kms-secrets,nplutt/pydantic-kms-secrets,pydantic-kms-secrets,[],aws,https://github.com/nplutt/pydantic-kms-secrets,https://github.com/nplutt/pydantic-kms-secrets,MIT,2020-07-18 03:41:21,2020-08-16 17:36:45,2020-08-16 17:34:46,15,,1.0,1.0,2.0,,,2,2020-08-16 17:36:45,0.3.0,,1348.0,4.0,Utility to decrypt and encrypt secrets using AWS KMS keys that also integrates with pydantic models which allows for..,,,,https://pypi.org/project/pydantic-kms-secrets,1348.0,8,True,2,,,
49,lambdantic,koxudaxi/lambdantic,lambdantic,[],aws,https://github.com/koxudaxi/lambdantic,https://github.com/koxudaxi/lambdantic,MIT,2019-09-08 13:35:27,2020-04-20 16:29:21,2020-04-20 16:27:49,20,,1.0,4.0,7.0,,,15,2020-04-20 16:29:21,0.0.4,,13.0,4.0,Pydantic model and lambda event handler for AWS Lambda.,,,2.0,https://pypi.org/project/lambdantic,13.0,6,True,3,,,
50,aws-appconfig-pydantic,Validus-Risk-Management/aws-appconfig-pydantic,aws-appconfig-pydantic,[],aws,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,https://github.com/Validus-Risk-Management/aws-appconfig-pydantic,Apache-2.0,2021-09-23 14:21:07,2023-07-24 09:52:27,2023-07-24 09:52:25,28,,1.0,3.0,6.0,,,5,,,,,,AWS AppConfig + Pydantic.,,,4.0,https://pypi.org/project/aws-appconfig-pydantic,,6,True,3,,,
51,pydantic-sqs,andrewthetechie/pydantic-sqs,pydantic-sqs,[],aws,https://github.com/andrewthetechie/pydantic-sqs,https://github.com/andrewthetechie/pydantic-sqs,,2022-10-31 23:59:40,2023-10-24 12:30:58,2023-08-18 13:09:09,259,13.0,,2.0,264.0,3.0,,1,2023-02-19 17:12:21,0.2.0,,16.0,2.0,Send and receive Pydantic models with AWS SQS.,,,2.0,https://pypi.org/project/pydantic-sqs,16.0,6,True,3,,,
